trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Hedlandet;xHdt;6569542;627266;59.2457;17.23134;001
Gemla;Gm;6303054;478436;56.87074;14.64625;821
Gunnarn;Gun;7211385;626099;65.00235;17.67491;152
Nässundet;Nd;6589142;456591;59.4386;14.23467;364
Snyten;Snt;6650918;557121;59.9916;16.02385;313
Sjisjka;Sjka;7510547;722139;67.62589;20.23457;113
Bredaryd;Bdy;6337739;423684;57.1765;13.7377;732
Skäret;Skrt;6639712;496081;59.89493;14.92997;327
Bredsjö;Brö;6632856;485170;59.83312;14.73546;327
Almunge;xAlg;6641521;670472;59.87599;18.04561;001
Vuonoskogen;Vsk;7332023;897047;65.86058;23.72313;133
Kvicksunds Södra;Ksus;6590988;574877;59.45075;16.32065;493
Hössjön;Hös;7068170;746004;63.65523;19.97216;171
Kungsgården;Kgd;6719590;588761;60.60234;16.621;315
Framnäs city;Fc;6486727;392056;58.50773;13.14738;552
Länna;xLna;6640826;665633;59.87173;17.95873;001
Rocksjön;Rkö;6403956;452310;57.77512;14.19819;715
Ottebol;Ot;6620505;357156;59.69794;12.46174;631
Hult;Hul;6389142;507684;57.64452;15.12872;831
Nynäshamns centrum;Nyc;6532695;669920;58.90028;17.94966;477
Svarte;Ste;6143228;418854;55.42854;13.71773;961
Bengtsfors;Bef;6546520;341305;59.0286;12.235;001
Åmotfors;Åt;6628558;352104;59.76841;12.3664;631
Näsbypark;xNbp;6592048;675583;59.43025;18.09558;426
Tjustskolan;Tjsk;6402366;597026;57.75288;16.63035;845
Örabäcken;Öbn;6886813;539386;62.11134;15.75474;216
Stjerneskolan;Stje;6668551;389541;60.13897;13.01111;661
Sjösa;Ssa;6517693;621189;58.78217;17.09638;421
Karlskrona central;Ck;6224812;536343;56.16692;15.58525;823
Mölndals övre;Mdö;6394566;322873;57.65846;12.03103;641
Jönköpings godsbangård;Jögb;6402744;450820;57.76407;14.17339;715
Hotings campingplats;Hcp;7109563;557167;64.10788;16.17335;261
Helgum;Hlm;7003907;598247;63.15102;16.94993;211
Skorped;Sop;7031721;642896;63.38541;17.85956;130
Nordmaling;Nog;7057830;722383;63.5784;19.48197;171
Knapptorp;Knp;6593961;496070;59.4841;14.93062;392
Malungsfors;Mfs;6734368;421532;60.73713;13.56099;375
Sala;Sl;6644222;589692;59.92569;16.60454;431
Vallnäs;Vln;6386251;528368;57.61772;15.47487;831
Övsjö;Övö;6982068;550024;62.96496;15.98643;211
Gideåbacka;Gia;7029722;704352;63.33765;19.08367;171
Karlskoga centrum;Ksac;6576370;472984;59.32528;14.52529;393
Karlskoga Dalbacksgatan;Kasd;6576458;472171;59.32603;14.51099;393
Vindeln;Vdn;7128240;728728;64.20413;19.71401;126
Vallåkra;Våk;6204115;366564;55.96381;12.86231;926
Maria;Mia;6216858;357515;56.07561;12.7107;920
Närkes Kvarntorp;Nkp;6553306;515581;59.11874;15.27213;591
Östersunds västra;Ösv;7005537;481431;63.17856;14.63114;222
Ramnäs;Rmn;6626385;567838;59.76973;16.20789;341
Vilhelmsborg;Vlb;6143039;419756;55.42699;13.73203;961
Sannarp;Sarp;6284452;370939;56.68631;12.89297;630
Länna bruk;xLbr;6641464;666274;59.87719;17.97068;001
Tystberga;Tba;6525341;629018;58.84853;17.23611;421
Lyrestad;Lyd;6518717;445493;58.80495;14.05658;552
Hova;Hova;6524146;454722;58.85477;14.2152;552
Västervik;Vk;6402695;597760;57.75568;16.64281;845
Selsjön;Slj;7021710;610865;63.30703;17.21232;130
Nedansjö;Nsö;6917297;595831;62.37471;16.8526;224
Loster;Ltr;6867824;549819;61.93967;15.9493;216
Svenstaviks centrum;Svc;6959776;471207;62.76718;14.43605;264
Jagbacken;xJbn;6569712;624560;59.24804;17.18403;001
Mertainen;Mtn;7519203;746962;67.68331;20.83511;116
Gröndalsviken;Gdv;6532528;668895;58.89918;17.93178;477
Bjuv;Bjuv;6217240;370010;56.0826;12.91111;933
Rosshyttan;Ry;6659851;575330;60.06886;16.35341;441
Nynäsgård;Ngd;6534259;669437;58.9145;17.94249;477
Morshyttan;Mrs;6681368;576109;60.26186;16.37546;312
Blägda;xBlä;6385867;567115;57.61018;16.12329;001
Årskogen;Åkg;6892410;622403;62.14373;17.34839;235
Sävastklinten;Sän;7311574;808537;65.7763;21.74937;119
Finnforsfallet;Ffs;7194314;753360;64.77731;20.33333;143
Kristianstad GBG;Crgb;6210975;447467;56.04111;14.15678;942
Hednoret;Ht;7315757;798079;65.82347;21.53192;124
Bergåsa;Båa;6226589;537309;56.18281;15.60106;823
Strömsbro;Smo;6731208;617626;60.69916;17.15472;303
Rabbalshede;Rbh;6502047;295007;58.61025;11.47071;621
Sundsvalls västra;Suv;6919690;618529;62.38964;17.29265;234
Överums Bruk;Övmb;6428326;578020;57.9897;16.3196;845
Kapellet;Kt;6584891;476634;59.40202;14.5885;392
Gnarp;Gnp;6882380;617270;62.0554;17.24335;235
Torved;Tvd;6520979;448038;58.82558;14.10009;552
Vedalund;xVdl;6607414;675032;59.56827;18.09849;425
Birsta;Bia;6926213;619554;62.44782;17.31699;233
